STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA,A,2026,301830000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA,A,2027,283487000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA,A,2028,273475000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA,A,2029,265742000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA,A,2030,253901000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA,A,2031,260241000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA_NGDPD,A,2026,6.46166,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA_NGDPD,A,2027,5.841811,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA_NGDPD,A,2028,5.443696,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA_NGDPD,A,2029,5.111921,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA_NGDPD,A,2030,4.721666,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,BCA_NGDPD,A,2031,4.683536,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,GGR,A,2026,1945382000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,GGR,A,2027,2012792000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,ABW,GGR,A,2028,2083944000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/19/2025
