STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA,A,2026,3367218000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA,A,2027,1570486000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA,A,2028,1292022000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA,A,2029,1364014000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA,A,2030,1181277000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA,A,2031,1062276000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA_NGDPD,A,2026,2.210121,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA_NGDPD,A,2027,1.016734,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA_NGDPD,A,2028,0.811819,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA_NGDPD,A,2029,0.829347,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA_NGDPD,A,2030,0.688419,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,BCA_NGDPD,A,2031,0.590561,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR,A,2026,20615328270000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR,A,2027,21744668778000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR,A,2028,24115677760000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR,A,2029,27421929950000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR,A,2030,30926715958000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR,A,2031,34521957212000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR_NGDP,A,2026,14.381111,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR_NGDP,A,2027,13.636716,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR_NGDP,A,2028,13.573372,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR_NGDP,A,2029,13.554536,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR_NGDP,A,2030,13.54253,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGR_NGDP,A,2031,13.402365,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB,A,2026,-4991855262000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB,A,2027,-6858116634000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB,A,2028,-7807926968000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB,A,2029,-9081107989000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB,A,2030,-10083302239000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB,A,2031,-11736334096000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB_NPGDP,A,2026,-3.556513,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB_NPGDP,A,2027,-4.240923,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB_NPGDP,A,2028,-4.230024,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB_NPGDP,A,2029,-4.346278,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB_NPGDP,A,2030,-4.296574,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGSB_NPGDP,A,2031,-4.485592,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGX,A,2026,24120445391000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGX,A,2027,27499988271000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGX,A,2028,31108607182000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGX,A,2029,35457412256000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGX,A,2030,39676475283000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGX,A,2031,44515084043000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL,A,2026,-3505117121000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL,A,2027,-5755319493000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL,A,2028,-6992929422000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL,A,2029,-8035482306000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL,A,2030,-8749759326000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL,A,2031,-9993126831000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL_NGDP,A,2026,-2.445145,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL_NGDP,A,2027,-3.609329,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL_NGDP,A,2028,-3.93593,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL_NGDP,A,2029,-3.971903,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL_NGDP,A,2030,-3.831441,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXCNL_NGDP,A,2031,-3.879604,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB,A,2026,1850678270000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB,A,2027,278031221000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB,A,2028,61221400000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB,A,2029,279331673000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB,A,2030,730961258000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB,A,2031,811918113000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB_NGDP,A,2026,1.29102,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB_NGDP,A,2027,0.174361,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB_NGDP,A,2028,0.034458,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB_NGDP,A,2029,0.138072,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,AGO,GGXONLB_NGDP,A,2030,0.320081,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/9/2025
