STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA,A,2026,778558000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA,A,2027,811358000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA,A,2028,844349000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA,A,2029,877717000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA,A,2030,909015000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA,A,2031,953694000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA_NGDPD,A,2026,15.958935,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA_NGDPD,A,2027,16.017712,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA_NGDPD,A,2028,16.097365,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA_NGDPD,A,2029,16.163187,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA_NGDPD,A,2030,16.182773,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,BCA_NGDPD,A,2031,16.225179,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR,A,2026,1675579000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR,A,2027,1749951000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR,A,2028,1815294000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR,A,2029,1881226000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR,A,2030,1947633000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR,A,2031,2016384000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR_NGDP,A,2026,40.078399,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR_NGDP,A,2027,40.216287,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR_NGDP,A,2028,40.216287,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR_NGDP,A,2029,40.216287,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR_NGDP,A,2030,40.216287,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGR_NGDP,A,2031,40.216287,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGX,A,2026,1581993000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGX,A,2027,1669018000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGX,A,2028,1730616000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,AND,GGX,A,2029,1792740000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
