STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA,A,2026,-280636000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA,A,2027,-281252000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA,A,2028,-281024000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA,A,2029,-282010000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA,A,2030,-281407000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA,A,2031,-279128000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA_NGDPD,A,2026,-11.768388,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA_NGDPD,A,2027,-11.286523,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA_NGDPD,A,2028,-10.791979,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA_NGDPD,A,2029,-10.363108,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA_NGDPD,A,2030,-9.894696,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,BCA_NGDPD,A,2031,-9.390519,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR,A,2026,1393690000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR,A,2027,1414043000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR,A,2028,1470690000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR,A,2029,1528435000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR,A,2030,1589706000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR,A,2031,1652534000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR_NGDP,A,2026,21.645918,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR_NGDP,A,2027,21.016668,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR_NGDP,A,2028,20.917745,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR_NGDP,A,2029,20.802157,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR_NGDP,A,2030,20.70242,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGR_NGDP,A,2031,20.590776,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGX,A,2026,1435481000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGX,A,2027,1491358000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGX,A,2028,1539714000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGX,A,2029,1598935000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGX,A,2030,1663258000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGX,A,2031,1728421000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGXCNL,A,2026,-41792000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGXCNL,A,2027,-77314000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGXCNL,A,2028,-69024000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,ATG,GGXCNL,A,2029,-70500000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
