STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA,A,2026,-15551903000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA,A,2027,-15384507000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA,A,2028,-10640653000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA,A,2029,-9194139000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA,A,2030,-7257784000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA,A,2031,-6251377000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA_NGDPD,A,2026,-2.002227,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA_NGDPD,A,2027,-1.930256,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA_NGDPD,A,2028,-1.302465,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA_NGDPD,A,2029,-1.093509,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA_NGDPD,A,2030,-0.840256,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,BCA_NGDPD,A,2031,-0.704296,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR,A,2026,328063463000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR,A,2027,337940864000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR,A,2028,347853068000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR,A,2029,359967662000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR,A,2030,370153264000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR,A,2031,381354392000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR_NGDP,A,2026,49.80604,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR_NGDP,A,2027,49.88449,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR_NGDP,A,2028,49.958758,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR_NGDP,A,2029,50.206788,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR_NGDP,A,2030,50.24685,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGR_NGDP,A,2031,50.368188,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB,A,2026,-32119130000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB,A,2027,-33009396000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB,A,2028,-34407316000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB,A,2029,-37159043000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB,A,2030,-40344889000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB,A,2031,-43875824000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB_NPGDP,A,2026,-4.857693,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB_NPGDP,A,2027,-4.844788,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BEL,GGSB_NPGDP,A,2028,-4.909916,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
