STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA,A,2026,-1547015000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA,A,2027,-1479309000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA,A,2028,-1369008000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA,A,2029,-1256191000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA,A,2030,-1195781000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA,A,2031,-1188218000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA_NGDPD,A,2026,-9.077413,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA_NGDPD,A,2027,-8.402642,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA_NGDPD,A,2028,-7.518534,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA_NGDPD,A,2029,-6.663757,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA_NGDPD,A,2030,-6.128225,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,BCA_NGDPD,A,2031,-5.882038,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR,A,2026,3689527000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR,A,2027,3824381000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR,A,2028,3939429000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR,A,2029,4062767000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR,A,2030,4191491000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR,A,2031,4324286000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR_NGDP,A,2026,21.988106,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR_NGDP,A,2027,22.069591,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR_NGDP,A,2028,21.993146,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR_NGDP,A,2029,21.919055,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR_NGDP,A,2030,21.844794,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGR_NGDP,A,2031,21.770925,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGX,A,2026,3742098000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGX,A,2027,3882878000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGX,A,2028,3988350000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGX,A,2029,4042667000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
dataflow,IMF.RES:WEO(9.0.0),R,BHS,GGX,A,2030,4160636000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/12/2025
