STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA,A,2026,-745142000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA,A,2027,-932084000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA,A,2028,-1009308000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA,A,2029,-1063740000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA,A,2030,-1125623000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA,A,2031,-1141296000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA_NGDPD,A,2026,-19.323276,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA_NGDPD,A,2027,-21.944903,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA_NGDPD,A,2028,-21.686468,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA_NGDPD,A,2029,-20.611579,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA_NGDPD,A,2030,-19.802709,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,BCA_NGDPD,A,2031,-18.382411,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,GGR,A,2026,105032889000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,GGR,A,2027,112312932000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,BTN,GGR,A,2028,120682569000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
