STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA,A,2026,-2440230000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA,A,2027,-2128400000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA,A,2028,-1942795000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA,A,2029,-1821165000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA,A,2030,-2065239000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA,A,2031,-2930079000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA_NGDPD,A,2026,-1.977396,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA_NGDPD,A,2027,-1.605671,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA_NGDPD,A,2028,-1.364786,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA_NGDPD,A,2029,-1.1937,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA_NGDPD,A,2030,-1.262153,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,BCA_NGDPD,A,2031,-1.670377,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR,A,2026,40484488111000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR,A,2027,46635164667000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR,A,2028,53215245503000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR,A,2029,59268096216000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR,A,2030,66216283851000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR,A,2031,73976303874000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR_NGDP,A,2026,14.590453,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR_NGDP,A,2027,14.999921,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR_NGDP,A,2028,15.200447,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR_NGDP,A,2029,15.064217,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR_NGDP,A,2030,14.965204,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGR_NGDP,A,2031,14.87308,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGX,A,2026,50071802608000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGX,A,2027,54058438610000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGX,A,2028,58456191631000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGX,A,2029,65001156951000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGX,A,2030,71851054189000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGX,A,2031,79700848212000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL,A,2026,-9587314497000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL,A,2027,-7423273943000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL,A,2028,-5240946128000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL,A,2029,-5733060735000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL,A,2030,-5634770338000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL,A,2031,-5724544338000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL_NGDP,A,2026,-3.455231,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL_NGDP,A,2027,-2.387652,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL_NGDP,A,2028,-1.497028,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL_NGDP,A,2029,-1.457176,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL_NGDP,A,2030,-1.273486,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXCNL_NGDP,A,2031,-1.150931,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB,A,2026,-8667057147000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB,A,2027,-5596500773000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB,A,2028,-3023762821000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB,A,2029,-3250717904000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB,A,2030,-2620287688000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB,A,2031,-2077638104000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB_NGDP,A,2026,-3.123574,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB_NGDP,A,2027,-1.800081,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB_NGDP,A,2028,-0.86371,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB_NGDP,A,2029,-0.826237,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB_NGDP,A,2030,-0.592198,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXONLB_NGDP,A,2031,-0.417713,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG,A,2026,68294865131000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG,A,2027,86505024148000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG,A,2028,103272286545000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG,A,2029,122884683503000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG,A,2030,144875942682000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG,A,2031,166606146619000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG_NGDP,A,2026,24.613205,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG_NGDP,A,2027,27.823823,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG_NGDP,A,2028,29.498782,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG_NGDP,A,2029,31.233693,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,7/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,COD,GGXWDG_NGDP,A,2030,32.742672,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,7/15/2025
