STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA,A,2026,-4214564000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA,A,2027,-4890176000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA,A,2028,-5437776000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA,A,2029,-5762767000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA,A,2030,-5915603000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA,A,2031,-6104766000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA_NGDPD,A,2026,-9.330261,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA_NGDPD,A,2027,-10.325678,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA_NGDPD,A,2028,-10.915663,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA_NGDPD,A,2029,-10.981148,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA_NGDPD,A,2030,-10.712075,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,BCA_NGDPD,A,2031,-10.50779,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR,A,2026,16384923000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR,A,2027,16780095000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR,A,2028,17650349000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR,A,2029,18501270000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR,A,2030,19390414000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR,A,2031,20320374000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR_NGDP,A,2026,42.760569,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR_NGDP,A,2027,41.709046,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR_NGDP,A,2028,41.596086,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR_NGDP,A,2029,41.364516,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR_NGDP,A,2030,41.173423,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGR_NGDP,A,2031,40.989373,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB,A,2026,964302000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB,A,2027,1002511000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB,A,2028,1018613000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB,A,2029,985114000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB,A,2030,850865000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB,A,2031,795087000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB_NPGDP,A,2026,1.880473,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB_NPGDP,A,2027,1.856361,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB_NPGDP,A,2028,1.788171,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB_NPGDP,A,2029,1.640768,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB_NPGDP,A,2030,1.345798,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGSB_NPGDP,A,2031,1.194769,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGX,A,2026,15374165000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGX,A,2027,15774235000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGX,A,2028,16629533000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGX,A,2029,17512598000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGX,A,2030,18537578000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGX,A,2031,19521584000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL,A,2026,1010757000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL,A,2027,1005860000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL,A,2028,1020816000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL,A,2029,988672000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL,A,2030,852836000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL,A,2031,798790000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL_NGDP,A,2026,2.637825,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL_NGDP,A,2027,2.500191,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL_NGDP,A,2028,2.405729,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL_NGDP,A,2029,2.21044,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL_NGDP,A,2030,1.810904,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXCNL_NGDP,A,2031,1.611284,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXONLB,A,2026,1426599000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXONLB,A,2027,1457904000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXONLB,A,2028,1471078000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXONLB,A,2029,1442931000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXONLB,A,2030,1346849000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXONLB,A,2031,1289176000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,CYP,GGXONLB_NGDP,A,2026,3.723069,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/24/2025
