STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA,A,2026,-262692000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA,A,2027,-211100000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA,A,2028,-181314000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA,A,2029,-167115000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA,A,2030,-160757000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA,A,2031,-163799000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA_NGDPD,A,2026,-33.223871,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA_NGDPD,A,2027,-25.377944,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA_NGDPD,A,2028,-20.760648,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA_NGDPD,A,2029,-18.279588,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA_NGDPD,A,2030,-16.862833,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,BCA_NGDPD,A,2031,-16.482464,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR,A,2026,1019651000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR,A,2027,956403000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR,A,2028,998038000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR,A,2029,1037830000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR,A,2030,1080204000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR,A,2031,1130210000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR_NGDP,A,2026,46.551548,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR_NGDP,A,2027,41.546787,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR_NGDP,A,2028,41.357026,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR_NGDP,A,2029,41.164489,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR_NGDP,A,2030,41.094497,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGR_NGDP,A,2031,41.246397,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,DMA,GGX,A,2026,1042285000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
