STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA,A,2026,483881000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA,A,2027,1344753000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA,A,2028,1916874000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA,A,2029,2947410000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA,A,2030,3976846000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA,A,2031,4603096000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA_NGDPD,A,2026,0.143301,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA_NGDPD,A,2027,0.38388,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA_NGDPD,A,2028,0.529996,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA_NGDPD,A,2029,0.786424,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA_NGDPD,A,2030,1.023365,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,BCA_NGDPD,A,2031,1.143861,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR,A,2026,154237212000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR,A,2027,160029482000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR,A,2028,165015566000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR,A,2029,171759770000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR,A,2030,178120410000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR,A,2031,184481943000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR_NGDP,A,2026,53.863251,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR_NGDP,A,2027,53.746036,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR_NGDP,A,2028,53.532988,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR_NGDP,A,2029,53.743414,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR_NGDP,A,2030,53.743414,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGR_NGDP,A,2031,53.743414,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB,A,2026,-11744469000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB,A,2027,-12386874000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB,A,2028,-13170578000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB,A,2029,-13450976000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB,A,2030,-13941664000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB,A,2031,-14981188000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB_NPGDP,A,2026,-4.046807,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB_NPGDP,A,2027,-4.114257,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB_NPGDP,A,2028,-4.235435,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB_NPGDP,A,2029,-4.19172,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB_NPGDP,A,2030,-4.19836,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGSB_NPGDP,A,2031,-4.362873,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGX,A,2026,167948558000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGX,A,2027,172682777000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGX,A,2028,177501181000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGX,A,2029,183992563000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGX,A,2030,190309665000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGX,A,2031,197218487000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL,A,2026,-13711346000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL,A,2027,-12653296000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL,A,2028,-12485615000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL,A,2029,-12232793000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL,A,2030,-12189255000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL,A,2031,-12736544000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL_NGDP,A,2026,-4.788324,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL_NGDP,A,2027,-4.24962,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL_NGDP,A,2028,-4.05048,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL_NGDP,A,2029,-3.827625,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL_NGDP,A,2030,-3.677805,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXCNL_NGDP,A,2031,-3.710419,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB,A,2026,-11482208000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB,A,2027,-9317720000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB,A,2028,-8372564000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB,A,2029,-7712203000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB,A,2030,-7357344000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB,A,2031,-7594494000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB_NGDP,A,2026,-4.009856,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB_NGDP,A,2027,-3.129364,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB_NGDP,A,2028,-2.716158,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB_NGDP,A,2029,-2.413139,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB_NGDP,A,2030,-2.219896,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXONLB_NGDP,A,2031,-2.212433,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG,A,2026,266612729000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG,A,2027,280461615000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG,A,2028,296441798000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG,A,2029,312798497000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG,A,2030,329111658000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG,A,2031,345972108000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG_NGDP,A,2026,93.107415,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG_NGDP,A,2027,94.193269,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG_NGDP,A,2028,96.169202,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG_NGDP,A,2029,97.874253,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG_NGDP,A,2030,99.301277,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDG_NGDP,A,2031,100.788847,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN,A,2026,130990348000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN,A,2027,143643644000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN,A,2028,156129258000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN,A,2029,168362051000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN,A,2030,180551307000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN,A,2031,193287851000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN_NGDP,A,2026,45.744901,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN_NGDP,A,2027,48.242838,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN_NGDP,A,2028,50.650166,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN_NGDP,A,2029,52.680272,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN_NGDP,A,2030,54.476877,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,FIN,GGXWDN_NGDP,A,2031,56.308757,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/15/2025
