STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA,A,2026,-12044888000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA,A,2027,-7477502000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA,A,2028,8388235000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA,A,2029,13660044000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA,A,2030,20434051000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA,A,2031,17479955000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA_NGDPD,A,2026,-0.334944,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA_NGDPD,A,2027,-0.203632,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA_NGDPD,A,2028,0.222163,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA_NGDPD,A,2029,0.351282,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA_NGDPD,A,2030,0.510326,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,BCA_NGDPD,A,2031,0.424594,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR,A,2026,1598664742000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR,A,2027,1642152955000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR,A,2028,1699167754000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR,A,2029,1756379202000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR,A,2030,1812594552000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR,A,2031,1867837943000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR_NGDP,A,2026,52.422866,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR_NGDP,A,2027,52.61334,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR_NGDP,A,2028,52.802658,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR_NGDP,A,2029,52.967551,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR_NGDP,A,2030,53.077867,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGR_NGDP,A,2031,53.18885,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB,A,2026,-148082822000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB,A,2027,-145294633000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB,A,2028,-134738223000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB,A,2029,-123765808000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB,A,2030,-111894951000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB,A,2031,-98953390000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB_NPGDP,A,2026,-4.846378,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB_NPGDP,A,2027,-4.642167,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB_NPGDP,A,2028,-4.179847,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB_NPGDP,A,2029,-3.725864,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB_NPGDP,A,2030,-3.272165,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGSB_NPGDP,A,2031,-2.814131,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGX,A,2026,1749332695000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGX,A,2027,1791630271000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGX,A,2028,1836258080000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGX,A,2029,1882670420000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGX,A,2030,1927202488000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGX,A,2031,1969486041000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGXCNL,A,2026,-150667953000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGXCNL,A,2027,-149477317000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGXCNL,A,2028,-137090325000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGXCNL,A,2029,-126291217000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGXCNL,A,2030,-114607935000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGXCNL,A,2031,-101648099000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGXCNL_NGDP,A,2026,-4.940652,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,FRA,GGXCNL_NGDP,A,2027,-4.78914,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
