STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA,A,2026,-144174696000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA,A,2027,-140395518000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA,A,2028,-134097457000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA,A,2029,-125624331000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA,A,2030,-111559000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA,A,2031,-119823562000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA_NGDPD,A,2026,-3.380578,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA_NGDPD,A,2027,-3.143599,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA_NGDPD,A,2028,-2.868366,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA_NGDPD,A,2029,-2.564574,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA_NGDPD,A,2030,-2.166853,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,BCA_NGDPD,A,2031,-2.217659,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR,A,2026,1253340989000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR,A,2027,1328441985000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR,A,2028,1386630341000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR,A,2029,1446773175000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR,A,2030,1506790882000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR,A,2031,1562378037000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR_NGDP,A,2026,39.951268,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR_NGDP,A,2027,40.936338,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR_NGDP,A,2028,41.219152,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR_NGDP,A,2029,41.594966,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR_NGDP,A,2030,41.908782,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGR_NGDP,A,2031,42.11175,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB,A,2026,-104492192000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB,A,2027,-81066228000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB,A,2028,-71942135000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB,A,2029,-57756881000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB,A,2030,-55341482000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB,A,2031,-55838099000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB_NPGDP,A,2026,-3.272769,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB_NPGDP,A,2027,-2.454788,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB_NPGDP,A,2028,-2.107845,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB_NPGDP,A,2029,-1.636902,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB_NPGDP,A,2030,-1.517107,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGSB_NPGDP,A,2031,-1.484543,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGX,A,2026,1375837643000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGX,A,2027,1429725680000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGX,A,2028,1474905564000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGX,A,2029,1515144025000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGX,A,2030,1567982060000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGX,A,2031,1621908639000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL,A,2026,-122496654000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL,A,2027,-101283695000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL,A,2028,-88275223000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL,A,2029,-68370851000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL,A,2030,-61191178000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL,A,2031,-59530603000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL_NGDP,A,2026,-3.904681,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL_NGDP,A,2027,-3.121087,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL_NGDP,A,2028,-2.624081,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL_NGDP,A,2029,-1.965673,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL_NGDP,A,2030,-1.701927,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXCNL_NGDP,A,2031,-1.604565,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXONLB,A,2026,-38632305000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXONLB,A,2027,-12753316000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXONLB,A,2028,8108704000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXONLB,A,2029,36219071000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXONLB,A,2030,48305118000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXONLB,A,2031,50306005000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/13/2025
dataflow,IMF.RES:WEO(9.0.0),R,GBR,GGXONLB_NGDP,A,2026,-1.231436,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/13/2025
