STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA,A,2026,-2139083000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA,A,2027,-2093836000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA,A,2028,-2375408000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA,A,2029,-2654992000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA,A,2030,-2978368000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA,A,2031,-3349293000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA_NGDPD,A,2026,-5.007699,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA_NGDPD,A,2027,-4.48362,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA_NGDPD,A,2028,-4.645074,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA_NGDPD,A,2029,-4.735706,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,GEO,BCA_NGDPD,A,2030,-4.842768,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
