STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA,A,2026,-188572000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA,A,2027,-164175000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA,A,2028,-158822000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA,A,2029,-163810000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA,A,2030,-165423000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA,A,2031,-167697000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA_NGDPD,A,2026,-6.318016,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA_NGDPD,A,2027,-5.10775,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA_NGDPD,A,2028,-4.61211,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,GNB,BCA_NGDPD,A,2029,-4.43047,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
