STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA,A,2026,-1163897000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA,A,2027,1170403000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA,A,2028,1985235000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA,A,2029,3152850000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA,A,2030,5194326000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA,A,2031,6399752000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA_NGDPD,A,2026,-0.429289,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA_NGDPD,A,2027,0.411445,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA_NGDPD,A,2028,0.665602,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA_NGDPD,A,2029,1.005821,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA_NGDPD,A,2030,1.575923,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,BCA_NGDPD,A,2031,1.84772,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR,A,2026,38755620913000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR,A,2027,40701044945000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR,A,2028,43054858084000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR,A,2029,45835524320000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR,A,2030,48216356554000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR,A,2031,50540602084000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR_NGDP,A,2026,42.628907,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR_NGDP,A,2027,42.571089,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR_NGDP,A,2028,42.833407,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR_NGDP,A,2029,43.36574,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR_NGDP,A,2030,43.376986,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGR_NGDP,A,2031,43.261465,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB,A,2026,-4545260363000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB,A,2027,-5085056585000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB,A,2028,-5687015283000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB,A,2029,-6035170921000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB,A,2030,-6229801832000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB,A,2031,-6410781820000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB_NPGDP,A,2026,-5.086998,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB_NPGDP,A,2027,-5.423254,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB_NPGDP,A,2028,-5.798109,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,HUN,GGSB_NPGDP,A,2029,-5.877475,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
