STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA,A,2026,-14162343000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA,A,2027,719422000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA,A,2028,-5351345000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA,A,2029,-9927657000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA,A,2030,-14421212000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA,A,2031,-20098784000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA_NGDPD,A,2026,-5.348644,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA_NGDPD,A,2027,0.245724,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA_NGDPD,A,2028,-1.751492,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA_NGDPD,A,2029,-3.088737,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA_NGDPD,A,2030,-4.243713,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,BCA_NGDPD,A,2031,-5.57508,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR,A,2026,119530268119000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR,A,2027,147574673096000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR,A,2028,148891793966000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR,A,2029,152830730811000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR,A,2030,160971306390000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR,A,2031,169124384829000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR_NGDP,A,2026,34.725071,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR_NGDP,A,2027,38.773206,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR_NGDP,A,2028,37.486292,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR_NGDP,A,2029,36.576446,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR_NGDP,A,2030,36.437568,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGR_NGDP,A,2031,36.086457,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX,A,2026,146735574539000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX,A,2027,157714664605000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX,A,2028,166382737825000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX,A,2029,176568041468000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX,A,2030,188891419168000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX,A,2031,203217682914000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL,A,2026,-27205306420000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL,A,2027,-10139991510000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL,A,2028,-17490943859000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL,A,2029,-23737310657000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL,A,2030,-27920112777000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL,A,2031,-34093298084000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL_NGDP,A,2026,-7.903489,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL_NGDP,A,2027,-2.664143,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL_NGDP,A,2028,-4.403672,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL_NGDP,A,2029,-5.680968,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL_NGDP,A,2030,-6.320015,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXCNL_NGDP,A,2031,-7.274565,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB,A,2026,-24752690433000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB,A,2027,-6442587139000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB,A,2028,-13164716680000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB,A,2029,-18539666679000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB,A,2030,-21678050449000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB,A,2031,-26600595623000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB_NGDP,A,2026,-7.190973,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB_NGDP,A,2027,-1.692701,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB_NGDP,A,2028,-3.314463,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB_NGDP,A,2029,-4.437034,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB_NGDP,A,2030,-4.907057,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXONLB_NGDP,A,2031,-5.67583,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG,A,2026,212377890706000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG,A,2027,223517882215000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG,A,2028,242008826074000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG,A,2029,266746136731000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG,A,2030,295666249509000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG,A,2031,330759547593000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG_NGDP,A,2026,61.698492,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG_NGDP,A,2027,58.726234,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG_NGDP,A,2028,60.930246,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG_NGDP,A,2029,63.839423,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG_NGDP,A,2030,66.927201,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGXWDG_NGDP,A,2031,70.574921,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX_NGDP,A,2026,42.62856,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX_NGDP,A,2027,41.437348,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX_NGDP,A,2028,41.889964,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX_NGDP,A,2029,42.257414,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX_NGDP,A,2030,42.757583,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,GGX_NGDP,A,2031,43.361022,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,LP,A,2026,46639900,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,LP,A,2027,47771600,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,LP,A,2028,48914100,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,LP,A,2029,50061500,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,LP,A,2030,51211700,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,LP,A,2031,52543204,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP,A,2026,344218931264000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP,A,2027,380609935751000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP,A,2028,397189973305000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP,A,2029,417839200757000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP,A,2030,441772916183000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP,A,2031,468664425414000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPD,A,2026,264783793000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPD,A,2027,292776874000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPD,A,2028,305530749000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPD,A,2029,321414770000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPD,A,2030,339825320000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPD,A,2031,360511096000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPDPC,A,2026,5677.194704,0,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPDPC,A,2027,6128.680506,0,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPDPC,A,2028,6246.271498,0,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPDPC,A,2029,6420.398306,0,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPDPC,A,2030,6635.696924,0,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPDPC,A,2031,6861.231666,0,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPPC,A,2026,7380353.115332,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPPC,A,2027,7967284.657649,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPPC,A,2028,8120152.947822,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPPC,A,2029,8346517.798247,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPPC,A,2030,8626406.000648,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPPC,A,2031,8919601.165351,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPC,A,2026,4313215.871462,0,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPC,A,2027,4687030.155263,0,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPC,A,2028,4736404.435868,0,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPC,A,2029,4782127.299104,0,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPC,A,2030,4833431.525252,0,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPC,A,2031,4873826.984784,0,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPPPPC,A,2026,11938.829106,0,,3,,,B1GQ,,,,,,,,,Q,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPPPPC,A,2027,12973.533833,0,,3,,,B1GQ,,,,,,,,,Q,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPPPPC,A,2028,13110.200097,0,,3,,,B1GQ,,,,,,,,,Q,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPPPPC,A,2029,13236.759367,0,,3,,,B1GQ,,,,,,,,,Q,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPPPPC,A,2030,13378.767652,0,,3,,,B1GQ,,,,,,,,,Q,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDPRPPPPC,A,2031,13490.580856,0,,3,,,B1GQ,,,,,,,,,Q,,,,,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_D,A,2026,171.110219,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_D,A,2027,169.985778,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_D,A,2028,171.441292,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_D,A,2029,174.535667,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_D,A,2030,178.47374,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_D,A,2031,183.010213,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_FY,A,2026,344218931264000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_FY,A,2027,380609935751000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_FY,A,2028,397189973305000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_FY,A,2029,417839200757000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_FY,A,2030,441772916183000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_FY,A,2031,468664425414000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_R,A,2026,201167956923000,9,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_R,A,2027,223906929765000,9,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_R,A,2028,231676960216000,9,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_R,A,2029,239400465784000,9,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_R,A,2030,247528245242000,9,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_R,A,2031,256086486497000,9,,3,,,B1GQ,,,,,,,,,Q,,,,XDC,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_RPCH,A,2026,-6.771333,0,,3,,,B1GQ,,,,,,,,,Q,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_RPCH,A,2027,11.303477,0,,3,,,B1GQ,,,,,,,,,Q,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_RPCH,A,2028,3.470205,0,,3,,,B1GQ,,,,,,,,,Q,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_RPCH,A,2029,3.333739,0,,3,,,B1GQ,,,,,,,,,Q,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_RPCH,A,2030,3.395056,0,,3,,,B1GQ,,,,,,,,,Q,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGDP_RPCH,A,2031,3.457481,0,,3,,,B1GQ,,,,,,,,,Q,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGSD_NGDP,A,2026,6.572876,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGSD_NGDP,A,2027,12.636837,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGSD_NGDP,A,2028,10.85171,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGSD_NGDP,A,2029,9.916479,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGSD_NGDP,A,2030,9.332973,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,NGSD_NGDP,A,2031,8.598856,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,PCPI,A,2026,110.64775,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,PCPI,A,2027,114.26449,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,PCPI,A,2028,118.012491,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,PCPI,A,2029,122.235183,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,IRQ,PCPI,A,2030,127.405628,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/10/2025
