STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA,A,2026,-4016732000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA,A,2027,-3465919000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA,A,2028,-3508095000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA,A,2029,-3552534000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA,A,2030,-3768882000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA,A,2031,-3851981000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA_NGDPD,A,2026,-6.188248,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA_NGDPD,A,2027,-5.062662,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA_NGDPD,A,2028,-4.863164,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA_NGDPD,A,2029,-4.673831,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA_NGDPD,A,2030,-4.70581,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,BCA_NGDPD,A,2031,-4.5645,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR,A,2026,12996161000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR,A,2027,13749132000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR,A,2028,14771388000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR,A,2029,15471326000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR,A,2030,16414166000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR,A,2031,17395196000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR_NGDP,A,2026,28.239985,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR_NGDP,A,2027,28.326335,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR_NGDP,A,2028,28.881753,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR_NGDP,A,2029,28.708923,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR_NGDP,A,2030,28.906489,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,JOR,GGR_NGDP,A,2031,29.07321,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/17/2025
