STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA,A,2026,-1682269000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA,A,2027,-1560411000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA,A,2028,-1580839000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA,A,2029,-1639831000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA,A,2030,-1691967000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA,A,2031,-1753131000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA_NGDPD,A,2026,-7.12638,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA_NGDPD,A,2027,-6.14048,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA_NGDPD,A,2028,-5.805854,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/2/2025
dataflow,IMF.RES:WEO(9.0.0),R,KGZ,BCA_NGDPD,A,2029,-5.635708,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/2/2025
