STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA,A,2026,2181633000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA,A,2027,825819000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA,A,2028,453095000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA,A,2029,513538000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA,A,2030,459927000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA,A,2031,512324000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA_NGDPD,A,2026,4.159224,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA_NGDPD,A,2027,1.648919,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA_NGDPD,A,2028,0.910346,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA_NGDPD,A,2029,1.030339,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA_NGDPD,A,2030,0.924232,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,BCA_NGDPD,A,2031,1.035571,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,GGR,A,2026,225918967000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,GGR,A,2027,246629940000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,GGR,A,2028,280695670000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,GGR,A,2029,327282175000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,LBY,GGR,A,2030,383645513000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/19/2025
