STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA,A,2026,4968606000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA,A,2027,5376173000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA,A,2028,5834927000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA,A,2029,6083492000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA,A,2030,6334775000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA,A,2031,6728550000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA_NGDPD,A,2026,4.49986,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA_NGDPD,A,2027,4.69638,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA_NGDPD,A,2028,4.897033,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA_NGDPD,A,2029,4.901322,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA_NGDPD,A,2030,4.900015,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,BCA_NGDPD,A,2031,4.998255,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR,A,2026,44385508000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR,A,2027,46432415000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR,A,2028,47626864000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR,A,2029,49833397000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR,A,2030,52190543000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR,A,2031,54659957000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR_NGDP,A,2026,47.402373,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR_NGDP,A,2027,47.720473,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR_NGDP,A,2028,46.899418,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR_NGDP,A,2029,47.083457,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR_NGDP,A,2030,47.334476,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGR_NGDP,A,2031,47.6008,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB,A,2026,-1794202000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB,A,2027,-1887532000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB,A,2028,-3142355000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB,A,2029,-3384063000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB,A,2030,-3603992000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB,A,2031,-3520501000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB_NPGDP,A,2026,-1.909627,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB_NPGDP,A,2027,-1.936669,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB_NPGDP,A,2028,-3.096192,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB_NPGDP,A,2029,-3.200037,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB_NPGDP,A,2030,-3.27029,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGSB_NPGDP,A,2031,-3.066314,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGX,A,2026,45498995000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGX,A,2027,47637309000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGX,A,2028,50108689000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGX,A,2029,52681536000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGX,A,2030,55372791000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGX,A,2031,58188588000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL,A,2026,-1113487000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL,A,2027,-1204894000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL,A,2028,-2481824000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL,A,2029,-2848138000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL,A,2030,-3182248000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL,A,2031,-3528631000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL_NGDP,A,2026,-1.18917,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL_NGDP,A,2027,-1.238318,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL_NGDP,A,2028,-2.443917,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL_NGDP,A,2029,-2.690971,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL_NGDP,A,2030,-2.886156,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXCNL_NGDP,A,2031,-3.07292,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXONLB,A,2026,-1098807000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXONLB,A,2027,-1088707000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXONLB,A,2028,-2265378000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXONLB,A,2029,-2500380000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXONLB,A,2030,-2692203000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXONLB,A,2031,-2889961000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/22/2025
dataflow,IMF.RES:WEO(9.0.0),R,LUX,GGXONLB_NGDP,A,2026,-1.173492,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/22/2025
