STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA,A,2026,8194000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA,A,2027,22750000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA,A,2028,17403000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA,A,2029,13984000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA,A,2030,9434000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA,A,2031,-15079000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA_NGDPD,A,2026,2.3936,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA_NGDPD,A,2027,6.184993,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA_NGDPD,A,2028,4.53402,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA_NGDPD,A,2029,3.496058,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA_NGDPD,A,2030,2.267211,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,BCA_NGDPD,A,2031,-3.483659,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR,A,2026,261397000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR,A,2027,292221000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR,A,2028,300998000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR,A,2029,315176000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR,A,2030,326853000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR,A,2031,319742000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR_NGDP,A,2026,76.355823,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR_NGDP,A,2027,79.445578,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR_NGDP,A,2028,78.420294,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR_NGDP,A,2029,78.795292,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR_NGDP,A,2030,78.551356,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGR_NGDP,A,2031,73.867898,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGX,A,2026,282436000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,MHL,GGX,A,2027,291346000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/15/2025
