STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA,A,2026,-504213000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA,A,2027,571226000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA,A,2028,1122341000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA,A,2029,885356000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA,A,2030,659300000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA,A,2031,367341000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA_NGDPD,A,2026,-1.489675,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA_NGDPD,A,2027,1.568958,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA_NGDPD,A,2028,2.87244,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA_NGDPD,A,2029,2.111797,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA_NGDPD,A,2030,1.465085,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,BCA_NGDPD,A,2031,0.760498,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR,A,2026,3806201400000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR,A,2027,4338167260000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR,A,2028,4692520751000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR,A,2029,5069380720000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR,A,2030,5488405881000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR,A,2031,5898249317000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR_NGDP,A,2026,20.215677,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR_NGDP,A,2027,21.371139,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR_NGDP,A,2028,21.482012,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR_NGDP,A,2029,21.617296,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR_NGDP,A,2030,21.800699,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGR_NGDP,A,2031,21.823532,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGX,A,2026,4261035535000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGX,A,2027,4798779981000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGX,A,2028,5209955857000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGX,A,2029,5623811451000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGX,A,2030,6087642301000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGX,A,2031,6541508536000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL,A,2026,-454834135000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL,A,2027,-460612721000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL,A,2028,-517435106000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL,A,2029,-554430731000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL,A,2030,-599236421000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL,A,2031,-643259219000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL_NGDP,A,2026,-2.415737,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL_NGDP,A,2027,-2.269119,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL_NGDP,A,2028,-2.368779,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/14/2025
dataflow,IMF.RES:WEO(9.0.0),R,MLI,GGXCNL_NGDP,A,2029,-2.364252,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/14/2025
