STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA,A,2026,-939220000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA,A,2027,-1485309000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA,A,2028,-1839893000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA,A,2029,-2103434000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA,A,2030,-2211447000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA,A,2031,-2383823000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA_NGDPD,A,2026,-1.120363,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA_NGDPD,A,2027,-1.709511,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA_NGDPD,A,2028,-1.955526,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA_NGDPD,A,2029,-2.033981,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA_NGDPD,A,2030,-2.055109,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,BCA_NGDPD,A,2031,-2.128954,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,GGR,A,2026,38879211343000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,GGR,A,2027,42354232390000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,GGR,A,2028,47776952374000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/27/2025
dataflow,IMF.RES:WEO(9.0.0),R,MMR,GGR,A,2029,53401397952000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/27/2025
