STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA,A,2026,-2251051000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA,A,2027,-2639754000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA,A,2028,-2877582000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA,A,2029,-3103240000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA,A,2030,-3509073000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA,A,2031,-3782608000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA_NGDPD,A,2026,-7.912257,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA_NGDPD,A,2027,-8.625583,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA_NGDPD,A,2028,-8.765981,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA_NGDPD,A,2029,-8.815194,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA_NGDPD,A,2030,-9.297129,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,BCA_NGDPD,A,2031,-9.346031,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR,A,2026,34156856339000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR,A,2027,36008194381000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR,A,2028,38921579022000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR,A,2029,43298445684000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR,A,2030,48413926600000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR,A,2031,53731112344000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR_NGDP,A,2026,32.979526,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR_NGDP,A,2027,30.854538,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR_NGDP,A,2028,29.697443,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR_NGDP,A,2029,29.495115,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR_NGDP,A,2030,29.520872,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGR_NGDP,A,2031,29.36474,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGX,A,2026,34723895780000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGX,A,2027,39037008824000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGX,A,2028,42856261810000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGX,A,2029,47653222443000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGX,A,2030,53334607669000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGX,A,2031,59360344801000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL,A,2026,-567039440000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL,A,2027,-3028814442000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL,A,2028,-3934682788000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL,A,2029,-4354776759000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL,A,2030,-4920681069000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL,A,2031,-5629232457000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL_NGDP,A,2026,-0.547495,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL_NGDP,A,2027,-2.595317,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL_NGDP,A,2028,-3.002191,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL_NGDP,A,2029,-2.966495,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,MNG,GGXCNL_NGDP,A,2030,-3.000434,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/16/2025
