STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA,A,2026,4579000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA,A,2027,4391000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA,A,2028,4624000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA,A,2029,4635000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA,A,2030,4849000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA,A,2031,4964000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA_NGDPD,A,2026,2.337133,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA_NGDPD,A,2027,2.05186,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA_NGDPD,A,2028,2.071102,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA_NGDPD,A,2029,1.991235,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA_NGDPD,A,2030,2.001744,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,BCA_NGDPD,A,2031,1.968014,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR,A,2026,417720000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR,A,2027,428831000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR,A,2028,448107000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR,A,2029,467275000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR,A,2030,487599000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR,A,2031,508981000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR_NGDP,A,2026,144.725929,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR_NGDP,A,2027,141.240387,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR_NGDP,A,2028,140.818722,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR_NGDP,A,2029,140.819944,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR_NGDP,A,2030,141.200678,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGR_NGDP,A,2031,141.554573,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX,A,2026,379854000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX,A,2027,397493000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX,A,2028,405576000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX,A,2029,421255000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX,A,2030,435798000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX,A,2031,453195000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL,A,2026,37865000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL,A,2027,31339000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL,A,2028,42531000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL,A,2029,46020000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL,A,2030,51801000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL,A,2031,55785000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL_NGDP,A,2026,13.1191,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL_NGDP,A,2027,10.321788,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL_NGDP,A,2028,13.365512,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL_NGDP,A,2029,13.868862,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL_NGDP,A,2030,15.000616,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXCNL_NGDP,A,2031,15.514711,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG,A,2026,36562000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG,A,2027,31813000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG,A,2028,28487000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG,A,2029,25161000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG,A,2030,22396000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG,A,2031,19636000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG_NGDP,A,2026,12.667449,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG_NGDP,A,2027,10.478022,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG_NGDP,A,2028,8.952144,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG_NGDP,A,2029,7.582596,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG_NGDP,A,2030,6.485485,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGXWDG_NGDP,A,2031,5.461091,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX_NGDP,A,2026,131.606829,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX_NGDP,A,2027,130.918599,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX_NGDP,A,2028,127.453211,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX_NGDP,A,2029,126.951082,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,8/4/2025
dataflow,IMF.RES:WEO(9.0.0),R,NRU,GGX_NGDP,A,2030,126.200063,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,8/4/2025
