STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,PAK,BCA_NGDPD,A,2026,-0.43576,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,BCA_NGDPD,A,2027,-0.856048,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,BCA_NGDPD,A,2028,-0.779118,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,BCA_NGDPD,A,2029,-0.845267,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,BCA_NGDPD,A,2030,-0.938391,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,BCA_NGDPD,A,2031,-0.954028,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,GGR,A,2026,20129766280000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,GGR,A,2027,21869112843000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,GGR,A,2028,24725965772000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAK,GGR,A,2029,27508430502000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/17/2025
