STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA,A,2026,-1425357000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA,A,2027,-2533116000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA,A,2028,-2701082000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA,A,2029,-2886081000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA,A,2030,-3077452000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA,A,2031,-3281511000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA_NGDPD,A,2026,-1.5,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA_NGDPD,A,2027,-2.5,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA_NGDPD,A,2028,-2.5,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA_NGDPD,A,2029,-2.5,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA_NGDPD,A,2030,-2.5,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,BCA_NGDPD,A,2031,-2.5,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR,A,2026,17068020000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR,A,2027,18479190000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR,A,2028,19991715000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR,A,2029,21815740000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR,A,2030,23591585000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR,A,2031,25515500000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR_NGDP,A,2026,17.961835,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR_NGDP,A,2027,18.237606,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR_NGDP,A,2028,18.503431,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR_NGDP,A,2029,18.89737,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR_NGDP,A,2030,19.16487,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGR_NGDP,A,2031,19.438833,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB,A,2026,-2673898000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB,A,2027,-2544323000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB,A,2028,-2334816000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB,A,2029,-2068697000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB,A,2030,-1856691000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB,A,2031,-1897979000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB_NPGDP,A,2026,-2.673314,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB_NPGDP,A,2027,-2.400523,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB_NPGDP,A,2028,-2.077741,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB_NPGDP,A,2029,-1.735532,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB_NPGDP,A,2030,-1.469709,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGSB_NPGDP,A,2031,-1.418116,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGX,A,2026,20287383000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGX,A,2027,21495408000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGX,A,2028,22719942000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGX,A,2029,24152075000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGX,A,2030,25436952000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGX,A,2031,27414154000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGXCNL,A,2026,-3219363000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGXCNL,A,2027,-3016217000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGXCNL,A,2028,-2728227000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGXCNL,A,2029,-2336335000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGXCNL,A,2030,-1845367000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGXCNL,A,2031,-1898654000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGXCNL_NGDP,A,2026,-3.387954,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,PAN,GGXCNL_NGDP,A,2027,-2.976785,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/28/2025
