STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA,A,2026,12996582000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA,A,2027,9780253000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA,A,2028,4867485000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA,A,2029,956998000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA,A,2030,-1772193000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA,A,2031,-3803874000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA_NGDPD,A,2026,3.412074,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA_NGDPD,A,2027,2.531284,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA_NGDPD,A,2028,1.208653,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA_NGDPD,A,2029,0.228449,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA_NGDPD,A,2030,-0.405445,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,BCA_NGDPD,A,2031,-0.82979,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR,A,2026,256569491000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR,A,2027,268985516000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR,A,2028,280256107000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR,A,2029,293066294000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR,A,2030,305840106000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR,A,2031,320325342000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR_NGDP,A,2026,19.36069,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR_NGDP,A,2027,19.307158,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,PER,GGR_NGDP,A,2028,19.271807,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
