STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA,A,2026,-32527887000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA,A,2027,-31928187000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA,A,2028,-30810168000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA,A,2029,-31005730000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA,A,2030,-31047068000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA,A,2031,-32492969000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA_NGDPD,A,2026,-6.764889,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA_NGDPD,A,2027,-6.244826,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA_NGDPD,A,2028,-5.632705,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA_NGDPD,A,2029,-5.352747,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA_NGDPD,A,2030,-5.058186,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,BCA_NGDPD,A,2031,-5.011334,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,GGR,A,2026,695039600000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,GGR,A,2027,706377986000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,GGR,A,2028,757078047000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,GGR,A,2029,803399988000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,GGR,A,2030,856032271000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
dataflow,IMF.RES:WEO(9.0.0),R,ROU,GGR,A,2031,894127406000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/24/2025
