STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA,A,2026,-2319705000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA,A,2027,-2155362000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA,A,2028,-1672706000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA,A,2029,-1651105000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA,A,2030,-1528281000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA,A,2031,-1488026000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA_NGDPD,A,2026,-13.380556,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA_NGDPD,A,2027,-11.695827,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA_NGDPD,A,2028,-8.564521,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA_NGDPD,A,2029,-7.896555,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA_NGDPD,A,2030,-6.743652,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,BCA_NGDPD,A,2031,-6.02916,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR,A,2026,5281823283000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR,A,2027,6041006318000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR,A,2028,6883848276000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR,A,2029,7723087805000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR,A,2030,8701938872000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR,A,2031,9503485124000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR_NGDP,A,2026,20.307067,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR_NGDP,A,2027,20.56578,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR_NGDP,A,2028,20.911699,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR_NGDP,A,2029,20.924626,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR_NGDP,A,2030,21.019033,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGR_NGDP,A,2031,20.46429,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGX,A,2026,6409522538000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGX,A,2027,6923647483000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGX,A,2028,7804566208000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGX,A,2029,8857657849000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGX,A,2030,9521416663000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGX,A,2031,11194894032000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGXCNL,A,2026,-1127699255000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGXCNL,A,2027,-882641165000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,RWA,GGXCNL,A,2028,-920717933000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
