STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA,A,2026,-2014886000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA,A,2027,-4916581000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA,A,2028,-5933600000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA,A,2029,-6174216000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA,A,2030,-6043398000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA,A,2031,-6105263000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA_NGDPD,A,2026,-4.508779,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA_NGDPD,A,2027,-10.324173,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA_NGDPD,A,2028,-11.104782,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA_NGDPD,A,2029,-10.585037,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA_NGDPD,A,2030,-9.724922,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,BCA_NGDPD,A,2031,-9.025716,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,GGR,A,2026,8922908114000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,GGR,A,2027,28595576740000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,GGR,A,2028,44106989109000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,GGR,A,2029,59547390306000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,GGR,A,2030,75379456994000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
dataflow,IMF.RES:WEO(9.0.0),R,SDN,GGR,A,2031,89039475073000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/9/2025
