STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA,A,2026,-2649174000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA,A,2027,-2855391000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA,A,2028,-664530000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA,A,2029,4252260000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA,A,2030,4098580000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA,A,2031,4075975000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA_NGDPD,A,2026,-44.841536,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA_NGDPD,A,2027,-42.200369,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA_NGDPD,A,2028,-7.408564,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
dataflow,IMF.RES:WEO(9.0.0),R,SUR,BCA_NGDPD,A,2029,32.482552,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/28/2025
