STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA,A,2026,-175992000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA,A,2027,-136271000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA,A,2028,-147504000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA,A,2029,-141896000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA,A,2030,-127867000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA,A,2031,-128592000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA_NGDPD,A,2026,-7.818845,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA_NGDPD,A,2027,-5.564315,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA_NGDPD,A,2028,-5.823018,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA_NGDPD,A,2029,-5.413966,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA_NGDPD,A,2030,-4.716678,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,BCA_NGDPD,A,2031,-4.563876,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR,A,2026,11764856000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR,A,2027,11991714000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR,A,2028,12715587000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR,A,2029,13347919000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR,A,2030,14014572000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR,A,2031,14819999000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR_NGDP,A,2026,33.258961,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR_NGDP,A,2027,32.146362,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR_NGDP,A,2028,32.598412,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR_NGDP,A,2029,32.665456,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR_NGDP,A,2030,32.712727,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGR_NGDP,A,2031,32.832949,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX,A,2026,12499925000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX,A,2027,12446224000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX,A,2028,13017335000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX,A,2029,13703755000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX,A,2030,14360252000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX,A,2031,15105545000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL,A,2026,-735069000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL,A,2027,-454510000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL,A,2028,-301749000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL,A,2029,-355837000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL,A,2030,-345680000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL,A,2031,-285547000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL_NGDP,A,2026,-2.078021,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL_NGDP,A,2027,-1.218412,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL_NGDP,A,2028,-0.77358,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL_NGDP,A,2029,-0.870815,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL_NGDP,A,2030,-0.806884,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXCNL_NGDP,A,2031,-0.632614,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB,A,2026,35585000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB,A,2027,366252000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB,A,2028,524505000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB,A,2029,484977000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB,A,2030,515669000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB,A,2031,558256000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB_NGDP,A,2026,0.100597,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB_NGDP,A,2027,0.981816,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB_NGDP,A,2028,1.344652,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB_NGDP,A,2029,1.186852,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB_NGDP,A,2030,1.203672,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXONLB_NGDP,A,2031,1.236787,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG,A,2026,19446671000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG,A,2027,20161396000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG,A,2028,20445899000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG,A,2029,20672935000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG,A,2030,20952225000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG,A,2031,21034686000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG_NGDP,A,2026,54.975265,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG_NGDP,A,2027,54.046944,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG_NGDP,A,2028,52.416288,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG_NGDP,A,2029,50.591472,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG_NGDP,A,2030,48.906552,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDG_NGDP,A,2031,46.601271,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN,A,2026,17110589000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN,A,2027,18322542000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN,A,2028,18805403000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN,A,2029,19368609000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN,A,2030,20156529000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN,A,2031,20238990000,9,,3,,,,G63N,,,,,S13,,,,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN_NGDP,A,2026,48.371218,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN_NGDP,A,2027,49.117504,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN_NGDP,A,2028,48.210618,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN_NGDP,A,2029,47.399482,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN_NGDP,A,2030,47.049243,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGXWDN_NGDP,A,2031,44.838447,0,,3,,,,G63N,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX_NGDP,A,2026,35.336982,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX_NGDP,A,2027,33.364773,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX_NGDP,A,2028,33.371992,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX_NGDP,A,2029,33.53627,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX_NGDP,A,2030,33.519611,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,GGX_NGDP,A,2031,33.465563,0,,3,,,,G2M,,,,,S13,,,,,,,PT,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LP,A,2026,127350,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LP,A,2027,129271,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LP,A,2028,131202,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LP,A,2029,133143,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LP,A,2030,135092,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LP,A,2031,137050,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LUR,A,2026,2.554153,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LUR,A,2027,2.53137,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LUR,A,2028,2.508791,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LUR,A,2029,2.486413,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LUR,A,2030,2.464235,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,LUR,A,2031,2.442255,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDP,A,2026,35373492000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDP,A,2027,37303489000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDP,A,2028,39006766000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDP,A,2029,40862490000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDP,A,2030,42841345000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDP,A,2031,45137581000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDPD,A,2026,2250866000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDPD,A,2027,2449025000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/18/2025
dataflow,IMF.RES:WEO(9.0.0),R,SYC,NGDPD,A,2028,2533120000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/18/2025
