STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA,A,2026,1294706000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA,A,2027,540677000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA,A,2028,274461000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA,A,2029,134768000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA,A,2030,-103472000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA,A,2031,-550332000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA_NGDPD,A,2026,6.341122,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA_NGDPD,A,2027,2.526194,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA_NGDPD,A,2028,1.210686,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA_NGDPD,A,2029,0.560581,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA_NGDPD,A,2030,-0.403211,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,BCA_NGDPD,A,2031,-1.989872,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR,A,2026,52515323000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR,A,2027,58340757000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR,A,2028,62822010000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR,A,2029,68777596000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR,A,2030,75517163000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR,A,2031,83204869000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR_NGDP,A,2026,26.943272,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR_NGDP,A,2027,27.201057,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR_NGDP,A,2028,26.694387,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR_NGDP,A,2029,26.634806,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR_NGDP,A,2030,26.652786,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGR_NGDP,A,2031,26.637436,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGX,A,2026,57388091000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGX,A,2027,63702750000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGX,A,2028,68705457000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGX,A,2029,75233209000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGX,A,2030,82600584000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGX,A,2031,91013886000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL,A,2026,-4872768000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL,A,2027,-5361994000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL,A,2028,-5883447000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL,A,2029,-6455613000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL,A,2030,-7083421000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL,A,2031,-7809016000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL_NGDP,A,2026,-2.5,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL_NGDP,A,2027,-2.5,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL_NGDP,A,2028,-2.5,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL_NGDP,A,2029,-2.5,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
dataflow,IMF.RES:WEO(9.0.0),R,TJK,GGXCNL_NGDP,A,2030,-2.5,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/11/2025
