STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA,A,2026,-1199730343000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA,A,2027,-1227799052000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA,A,2028,-1250869706000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA,A,2029,-1316037693000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA,A,2030,-1338686915000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA,A,2031,-1388627709000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA_NGDPD,A,2026,-3.70471,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA_NGDPD,A,2027,-3.633613,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA_NGDPD,A,2028,-3.567197,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA_NGDPD,A,2029,-3.619408,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA_NGDPD,A,2030,-3.552979,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,BCA_NGDPD,A,2031,-3.557732,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR,A,2026,9856716050000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR,A,2027,10316304476000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR,A,2028,10654198142000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR,A,2029,11052081923000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR,A,2030,11547683439000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR,A,2031,12006514875000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR_NGDP,A,2026,30.437069,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR_NGDP,A,2027,30.530612,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR_NGDP,A,2028,30.383359,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR_NGDP,A,2029,30.39578,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR_NGDP,A,2030,30.648444,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGR_NGDP,A,2031,30.761278,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB,A,2026,-2386449364000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB,A,2027,-2460056985000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB,A,2028,-2630463737000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB,A,2029,-2678245488000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB,A,2030,-2780550227000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB,A,2031,-2850788727000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB_NPGDP,A,2026,-7.369409,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB_NPGDP,A,2027,-7.280726,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB_NPGDP,A,2028,-7.501616,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB_NPGDP,A,2029,-7.365986,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB_NPGDP,A,2030,-7.379866,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGSB_NPGDP,A,2031,-7.304054,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGX,A,2026,12286086298000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGX,A,2027,12807841598000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
dataflow,IMF.RES:WEO(9.0.0),R,USA,GGX,A,2028,13317329101000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/30/2025
