STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,2026,7875682000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,2027,5636468000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA_NGDPD,A,2026,7.075872,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA_NGDPD,A,2027,4.78039,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,LP,A,2026,26887102,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,LP,A,2027,27102199,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP,A,2026,89759368949000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP,A,2027,184820483420000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPD,A,2026,111303343000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPD,A,2027,117908128000,9,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPDPC,A,2026,4139.655632,0,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPDPC,A,2027,4350.500451,0,,3,,,B1GQ,,,,,,,,,V,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPPC,A,2026,3338380.209845,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPPC,A,2027,6819390.752229,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPRPC,A,,,0,,3,,,,,,,,,,,,,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPRPPPPC,A,2026,7856.716043,0,,3,,,B1GQ,,,,,,,,,Q,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDPRPPPPC,A,2027,8261.8046,0,,3,,,B1GQ,,,,,,,,,Q,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP_D,A,2026,44572747187600400,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP_D,A,2027,86585529898441670,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP_FY,A,2026,89759368949000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP_FY,A,2027,184820483420000,9,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP_R,A,,,9,,3,,,,,,,,,,,,,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP_RPCH,A,2026,4.042661,0,,3,,,B1GQ,,,,,,,,,Q,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,NGDP_RPCH,A,2027,5.9972,0,,3,,,B1GQ,,,,,,,,,Q,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PCPI,A,2026,4687740584313.04,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PCPI,A,2027,9111677627913.15,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PCPIE,A,2026,6542227233727.24,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PCPIE,A,2027,11748900163963.3,0,,3,,,,,,,,,,,CPI,,,,,IX,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PCPIEPCH,A,2026,219.684873,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PCPIEPCH,A,2027,79.585633,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PCPIPCH,A,2026,387.396834,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PCPIPCH,A,2027,94.37248,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PPPEX,A,2026,352.866737,0,,3,,,,,,,,,,,,,RT,XDC_PU,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PPPEX,A,2027,670.73838,0,,3,,,,,,,,,,,,,RT,XDC_PU,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PPPGDP,A,2026,254371862000,9,,3,,,B1GQ,,,,,,,,,V,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PPPGDP,A,2027,275547798000,9,,3,,,B1GQ,,,,,,,,,V,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PPPPC,A,2026,9460.739297,0,,3,,,B1GQ,,,,,,,,,,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PPPPC,A,2027,10166.990517,0,,3,,,B1GQ,,,,,,,,,,,,,,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PPPSH,A,2026,0.114191,0,,3,,,B1GQ,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,PPPSH,A,2027,0.117296,0,,3,,,B1GQ,,,,,,,,,,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,TMG_RPCH,A,2026,16.516165,0,,3,,,,,,MG,,,,,,VL,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,TMG_RPCH,A,2027,10.051507,0,,3,,,,,,MG,,,,,,VL,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,TM_RPCH,A,2026,19.817545,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,TM_RPCH,A,2027,6.681715,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,TXG_RPCH,A,2026,28.880494,0,,3,,,,,,XG,,,,,,VL,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,TXG_RPCH,A,2027,-0.907603,0,,3,,,,,,XG,,,,,,VL,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,TX_RPCH,A,2026,30.131654,0,,3,,,,,,XGS,,,,,,VL,,,,PT,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,TX_RPCH,A,2027,-1.160338,0,,3,,,,,,XGS,,,,,,VL,,,,PT,,,OL,9/16/2025
