STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA,A,2026,-119370000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA,A,2027,-111377000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA,A,2028,-94321000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA,A,2029,-84483000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA,A,2030,-86627000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA,A,2031,-83576000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA_NGDPD,A,2026,-8.549748,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA_NGDPD,A,2027,-7.538628,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA_NGDPD,A,2028,-6.073682,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/19/2025
dataflow,IMF.RES:WEO(9.0.0),R,VUT,BCA_NGDPD,A,2029,-5.188078,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/19/2025
