STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA,A,2026,-4245318000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA,A,2027,-6887370000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA,A,2028,-8007473000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA,A,2029,-9309919000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA,A,2030,-10042935000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA,A,2031,-10525153000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA_NGDPD,A,2026,-0.884507,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA_NGDPD,A,2027,-1.39305,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA_NGDPD,A,2028,-1.560719,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA_NGDPD,A,2029,-1.745674,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA_NGDPD,A,2030,-1.808678,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,BCA_NGDPD,A,2031,-1.821067,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR,A,2026,2281568075000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR,A,2027,2393954595000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR,A,2028,2516165654000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR,A,2029,2637550455000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR,A,2030,2766448573000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR,A,2031,2901115499000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR_NGDP,A,2026,28.464786,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR_NGDP,A,2027,28.53141,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR_NGDP,A,2028,28.666405,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR_NGDP,A,2029,28.688581,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR_NGDP,A,2030,28.682376,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGR_NGDP,A,2031,28.677147,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGSB,A,2026,-382182923000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/25/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZAF,GGSB,A,2027,-359662349000,9,,3,,,,SB,,,,,S13,,,,,,,XDC,,,OL,9/25/2025
