STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA,A,2026,382076000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA,A,2027,840154000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA,A,2028,953906000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA,A,2029,1133391000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA,A,2030,1242259000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA,A,2031,830063000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA_NGDPD,A,2026,0.926405,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA_NGDPD,A,2027,1.94199,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA_NGDPD,A,2028,2.06928,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/15/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZMB,BCA_NGDPD,A,2029,2.192147,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,8/15/2025
