STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA,A,2026,2120074000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA,A,2027,1993987000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA,A,2028,1796497000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA,A,2029,1627857000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA,A,2030,1371409000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA,A,2031,1016242000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA_NGDPD,A,2026,3.738271,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA_NGDPD,A,2027,3.4735,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA_NGDPD,A,2028,3.00283,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA_NGDPD,A,2029,2.61085,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA_NGDPD,A,2030,2.110049,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,BCA_NGDPD,A,2031,1.499725,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR,A,2026,271003431000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR,A,2027,309174051000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR,A,2028,352334812000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR,A,2029,401515206000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR,A,2030,457570696000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR,A,2031,521150185000,9,,3,,,,G1,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR_NGDP,A,2026,15.952642,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR_NGDP,A,2027,16.17675,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR_NGDP,A,2028,16.37675,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR_NGDP,A,2029,16.576701,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR_NGDP,A,2030,16.77675,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGR_NGDP,A,2031,16.966604,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGX,A,2026,283792762000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGX,A,2027,325747300000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGX,A,2028,371723762000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGX,A,2029,423160887000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGX,A,2030,482260244000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGX,A,2031,549125845000,9,,3,,,,G2M,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL,A,2026,-12789331000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL,A,2027,-16573249000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL,A,2028,-19388950000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL,A,2029,-21645681000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL,A,2030,-24689548000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL,A,2031,-27975660000,9,,3,,,,GNLB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL_NGDP,A,2026,-0.752845,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL_NGDP,A,2027,-0.867153,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL_NGDP,A,2028,-0.901211,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL_NGDP,A,2029,-0.89365,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL_NGDP,A,2030,-0.905238,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXCNL_NGDP,A,2031,-0.910778,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB,A,2026,9797819000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB,A,2027,10047596000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB,A,2028,11302244000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB,A,2029,12715683000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB,A,2030,14308546000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB,A,2031,16136169000,9,,3,,,,GPB,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB_NGDP,A,2026,0.57675,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB_NGDP,A,2027,0.525715,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB_NGDP,A,2028,0.525336,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB_NGDP,A,2029,0.524972,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB_NGDP,A,2030,0.52462,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXONLB_NGDP,A,2031,0.52533,0,,3,,,,GPB,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG,A,2026,719149668000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG,A,2027,790394039000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG,A,2028,869235981000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG,A,2029,955640566000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG,A,2030,1050631456000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG,A,2031,1155181659000,9,,3,,,,G63G,,,,,S13,,,,,,,XDC,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG_NGDP,A,2026,42.332811,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG_NGDP,A,2027,41.355367,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG_NGDP,A,2028,40.40265,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/5/2025
dataflow,IMF.RES:WEO(9.0.0),R,ZWE,GGXWDG_NGDP,A,2029,39.453967,0,,3,,,,G63G,,,,,S13,,,,,,,PT,,,OL,9/5/2025
